Crag;name_link;href;Country;routes;lat;long
Ötztal;austria;/crags/sportclimbing/austria/oetztal;Austria;1086;47.200680;10.900500
Adlitzgraben;austria;/crags/sportclimbing/austria/adlitzgraben;Austria;324;47.658220;15.842970
Martinswand;austria;/crags/sportclimbing/austria/martinswand;Austria;614;47.269200;11.270470
Nassereith;austria;/crags/sportclimbing/austria/nassereith;Austria;332;47.318080;10.844150
Hohe Wand;austria;/crags/sportclimbing/austria/hohe-wand;Austria;1340;47.821810;16.034710
Schleier Wasserfall;austria;/crags/sportclimbing/austria/schleier-wasserfall;Austria;294;47.545308;12.362356
Thalhofergrat;austria;/crags/sportclimbing/austria/thalhofergrat;Austria;362;48.006790;16.036230
Höllental;austria;/crags/sportclimbing/austria/hoellental;Austria;739;47.731470;15.790790
Kanzianiberg;austria;/crags/sportclimbing/austria/kanzianiberg;Austria;625;46.550360;13.882940
Achleiten;austria;/crags/sportclimbing/austria/achleiten;Austria;294;47.532190;12.193170
Maltatal;austria;/crags/sportclimbing/austria/maltatal;Austria;477;46.969010;13.487090
Starkenbach;austria;/crags/sportclimbing/austria/starkenbach;Austria;430;47.184930;10.628110
Bürs;austria;/crags/sportclimbing/austria/buers;Austria;264;47.148630;9.799460
Peilstein;austria;/crags/sportclimbing/austria/peilstein;Austria;878;48.017690;16.051070
Wachau;austria;/crags/sportclimbing/austria/wachau;Austria;828;48.4003899;15.474331
Plombergstein;austria;/crags/sportclimbing/austria/plombergstein;Austria;273;47.776970;13.358040
Ennstal;austria;/crags/sportclimbing/austria/ennstal;Austria;792;47.887340;14.539030
Reutte;austria;/crags/sportclimbing/austria/reutte;Austria;600;47.503520;10.705400
Imst;austria;/crags/sportclimbing/austria/imst;Austria;424;47.240230;10.739610
Chinesische Mauer;austria;/crags/sportclimbing/austria/chinesische-mauer;Austria;217;47.397260;11.168170
Sparchen;austria;/crags/sportclimbing/austria/sparchen;Austria;170;47.597410;12.194740
Warmbad;austria;/crags/sportclimbing/austria/warmbad;Austria;241;46.587770;13.811700
Rindbachtal;austria;/crags/sportclimbing/austria/rindbachtal;Austria;247;47.805720;13.807410
Kraftwerk;austria;/crags/sportclimbing/austria/kraftwerk;Austria;161;47.554170;10.686780
